"","Location","Burrito","Date","Neighborhood","Yelp","Google","Cost","Length","Circum","Volume","Tortilla","Temp","Meat","Fillings","Meat.filling","Uniformity","Salsa","Synergy","Wrap","Overall","NumOfIngred"
"18","Los Cabos","Al Pastor","8/27/2016","San Marcos",4,4.1,5.69,17.5,23.5,0.77,4,4.5,3,3.5,4,3.5,2.5,4,4.5,4,4
"21","Taco Stand La Jolla","Al Pastor","6/6/2016","La Jolla",4.5,4.4,6.99,18.5,21,0.65,4,3.5,4,3.5,4,5,2.5,4,4.5,3.9,5
"24","Taco Villa","Al Pastor","9/29/2016","UTC",3.5,3.5,5.99,18,20,0.57,3.5,3.5,2,3,4.5,4.5,3,3,5,3.2,3
"26","Taco Villa","Al Pastor","1/20/2017","UTC",3.5,3.5,6.99,18.5,20.5,0.62,2.5,4.5,4,4,2,3,3,3,4,3,0
"27","Tacos por favor","Al Pastor","6/11/2016","Santa Monica",4,4.1,6.85,15.5,21,0.54,3,5,4,3,5,4,3,4,3,4,4
"28","Donato's Taco Shop","Al Pastor","11/1/2016","Miramar",3.5,4.2,5.99,19.5,21.5,0.72,3,4.5,3.7,2.8,5,4.5,3,2.3,4.5,3,3
"29","Los Tacos 2","Al Pastor","5/13/2017","Oceanside",4.5,5,8.25,22.5,19.5,0.68,4,,4,3,3,2.5,4,3,5,3.6,3
"57","Burros and Fries","California","8/12/2016","Clairemont",3.5,4.1,6.89,21.5,22.5,0.87,3.5,4.5,3.5,3.5,3,1.5,2.5,3.5,5,3.5,5
"58","Burros and Fries","California","6/4/2017","Clairemont",3.5,4.1,7.19,21,22,0.81,3.5,4.5,3.5,3.5,3,3.5,4,3.5,5,3.8,0
"59","Caliente Mexican Food","California","7/6/2017","Sorrento Valley",3.5,4.4,6.47,23,22,0.89,1,2,2,2,3,3,1,2,3,2,0
"60","California Burrito Company","California","10/12/2016","Miramar",3.5,4.4,5.5,20,20,0.64,3.5,5,3,3,3.5,3.5,2,4,5,3.5,4
"61","California Burrito Company","California","10/12/2016","Miramar",3.5,4.4,5.5,20,23,0.84,3,5,3,4,2,2,2,4.5,4,3.5,4
"63","Cancun Mexican & Seafood","California","9/9/2016","Encinitas",4.5,4.1,6.99,19.5,22,0.75,3,4.5,4,4,3.5,3,4,4,5,4,4
"64","Cotixan","California","2/23/2017","Clairemont",4,4,7.19,20,24,0.92,4,2,3,3.8,3.5,2,4,4,4,3.5,0
"65","Cotixan","California","6/16/2017","Clairemont",4,4,6.9,19,23,0.8,3,3,3.5,3.5,3.5,3.5,3.8,4,5,3.7,0
"66","Don Carlos Taco Shop","California","5/9/2017","La Jolla",4,4.5,7.75,18,22.5,0.73,3.5,4.2,3.3,3.7,4,4,2.9,3,5,3.7,5
"67","Don Carlos Taco Shop","California","5/9/2017","La Jolla",4,4.5,7.75,20,22.5,0.81,4,4,2.6,3.6,4,4,3.6,4,4,2.9,5
