Location,Burrito,Neighborhood,Region,Cost,Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Uniformity,Salsa,Synergy,Wrap,Overall
Taco Stand La Jolla,Al Pastor,La Jolla,Coastal,6.99,18.5,21,0.65,4,3.5,4,3.5,5,2.5,4,4.5,3.9
Donato's Taco Shop,Al Pastor,Miramar,South,5.99,19.5,21.5,0.72,3,4.5,3.7,2.8,4.5,3,2.3,4.5,3
Los Tacos 2,Al Pastor,Oceanside,North,8.5,22,21,0.77,4,4,3.75,4,3.5,4,5,3.5,4
Los Tacos 2,Al Pastor,Oceanside,North,8.25,22.5,19.5,0.68,4,4,4,3,2.5,4,3,5,3.6
Los Tacos,Al Pastor,Oceanside,North,7.9,20.5,21,0.72,3.5,4,4,3,4.5,4,3.8,4.8,3.8
Los Tacos,Al Pastor,Oceanside,North,8.5,21.5,21.5,0.79,3.5,4,4.5,4,4,3.5,4.5,5,4.3
Los Tacos,Al Pastor,Oceanside,North,8.5,21,23,0.88,4,4,4,4.5,4.5,4,4.5,4.8,4.5
Los Tacos,Al Pastor,Oceanside,North,7.9,20.5,21.5,0.75,3.5,4.5,4.5,4,1.5,3,4,5,3.5
Los Tacos 2,Al Pastor,Oceanside,North,8.5,23,22,0.89,4,4.5,3,4,2.5,3.5,3.5,3,4
Los Tacos 2,Al Pastor,Oceanside,North,8.5,21,23.5,0.92,4,4,3,3.5,2,3,3,1,3
Los Cabos,Al Pastor,San Marcos,North,5.69,17.5,23.5,0.77,4,4.5,3,3.5,3.5,2.5,4,4.5,4
Burros and Fries,California,Clairemont,North,6.89,21.5,22.5,0.87,3.5,4.5,3.5,3.5,1.5,2.5,3.5,5,3.5
Cotixan,California,Clairemont,Coastal,6.9,19,23,0.8,3,3,3.5,3.5,3.5,3.8,4,5,3.7
Los Palmitos,California,Clairemont,Coastal,7.1,22.5,23,0.95,4.5,5,3.8,3.8,4,3.9,4.3,5,4.3
Vallarta express,California,Clairemont,Coastal,6.95,21,23,0.88,3,3.5,2,3.5,2.5,2.5,2.5,2,2.9
Vallarta Express,California,Clairemont,Coastal,8.35,21,23,0.88,3,3,4,3,2.5,4,4.5,4,4.1
Valentines Mexican Food,California,Downtown,South,7.9,20,22,0.77,3,5,5,4,4,3,5,2,4.5
Valentines Mexican Food,California,Downtown,South,7.9,20,21.5,0.74,4,4,3,4,4,3,3,4,4
Cancun Mexican & Seafood,California,Encinitas,Coastal,6.99,19.5,22,0.75,3,4.5,4,4,3,4,4,5,4
El Pueblo Mexican Food,California,Encinitas,Coastal,4.99,19,21,0.67,4.5,4.5,3.5,4,5,2.5,4.5,5,4.3
Lourdes,California,Encinitas,Coastal,6.35,19,20,0.6,4,3,3,3,3,3.5,2.8,5,3.1
Taco Stand Encinitas ,California,Encinitas,Coastal,7.89,19,22.5,0.77,3,4,4.5,4,4.5,4.5,4.8,3.3,4.7
Los Panchos Taco Shop,California,Hillcrest,South,6.25,18,21.5,0.66,3.5,5,4,3,3,3.5,3.5,3,3.7
Roberto's Taco Shop Hillcrest,California,Hillcrest,South,7,23,21.5,0.85,3,3,2,2,2,3,2,3,2.2
Roberto's Taco Shop Hillcrest,California,Hillcrest,South,7,19.5,21.5,0.72,4.5,5,4,4,3.7,3.8,4.6,4.8,4.2
Lolita's Taco Shop,California,Kearny Mesa,South,7,17.5,24.5,0.84,3,5,3,3.5,1.5,3,3,4,3.3
Lolita's Taco Shop,California,Kearny Mesa,South,7,18,25,0.9,2.8,3,3,2,4.5,2,1.5,4.5,2.3
Lolita's Taco Shop,California,Kearny Mesa,South,7,18,23.5,0.79,4,4,4,3,5,4,4,5,4
Taco Stand La Jolla,California,La Jolla,Coastal,7.49,19,22,0.73,3.5,4,4,4,3,4,4.5,3,4.2
Taco Stand La Jolla,California,La Jolla,Coastal,7.49,16.5,25,0.82,4,3.5,4,4,5,4.5,5,4.5,4.5
Taco Stand La Jolla,California,La Jolla,Coastal,7.49,17.7,21.5,0.65,4,2,5,5,3,5,4,3,4
California Burrito Company,California,Miramar,South,5.5,20,23,0.84,3,5,3,4,2,2,4.5,4,3.5
Rigoberto's Taco Shop,California,Miramar,South,6.6,22,23,0.93,4,4.5,4,4,5,4.5,4.5,4.5,4.25
Rigoberto's Taco Shop,California,Miramar,South,6.85,23.5,23,0.99,3.5,5,3.3,3,2,3,3.8,3.5,3.9
Rigoberto's Taco Shop,California,Miramar,South,6.85,23.5,23.5,1.03,4,5,4,4,3.5,2,3.5,4,4
Mr. Ruribertos Taco Shop ,California,Mission Beach,Coastal,7.75,20,21,0.7,3.5,2.5,3,3.3,2.3,2.2,3.3,4.5,2.9
King Burrito,California,Oceanside,North,5.29,22.5,20.5,0.75,2.5,4.5,2,3,1.5,3,2,4.5,2.5
Ortiz's Taco Shop #2,California,Pacific Beach,Coastal,6.39,20.5,20.5,0.69,2,4,3.5,3,4,2,3.5,3.5,3.5
Taco Surf PB,California,Pacific Beach,Coastal,7.14,20,23,0.84,4,2,4,5,2,4,4.5,5,4.4
Taco Surf PB,California,Pacific Beach,Coastal,7.14,20.5,24,0.94,4,2,4.5,4,2,3,4,4,4.1
Los Cabos,California,San Marcos,South,5.99,18.5,21,0.65,4,4.5,2.5,2.5,1.5,3,4,5,3
Senor Panchos,California,San Marcos,North,6.25,21,19.5,0.64,3,4,4,3,4.5,4,4,5,4
Caliente Mexican Food,California,Sorrento Valley,Coastal,6.47,23,22,0.89,1,2,2,2,3,1,2,3,2
El Dorado Mexican Food,California,Temecula,North,7.4,19.5,24.5,0.93,5,4,4.2,3.5,3,4,4,4,4
El Zarape,California,University Heights,South,6.25,17,22,0.65,3,4,4,4,4,2,3,5,4
Taco Villa,California,UTC,Coastal,,18.5,21.5,0.68,3,3,3.5,4,1.5,3.8,4,5,4
Taco VIlla,California,UTC,Coastal,6.99,20.5,21.5,0.75,4,4,3.5,3.5,3.5,3.5,3.5,5,3.7
Pollos Maria,Carne Asada,Carlsbad,Coastal,6.49,17.5,17,0.4,3.5,4,3,4,4,3,4,4.5,3.5
Carmen's Mexican Food,Carne Asada,Clairemont,Coastal,6.5,21,21,0.74,4.5,4.5,3.5,4,3.5,4,4,4,4
Valentines Mexican Food,Carne Asada,Downtown,South,6.75,19.5,21,0.68,4,4.5,3.5,3.5,4.5,3,3.5,4,3.9
Alberto's,Carne Asada,Escondido,North,4.59,17,21,0.6,4,4,5,5,5,5,5,4,4.8
Lolita's Taco Shop,Carne Asada,Kearny Mesa,South,6.25,15,20.5,0.5,1.5,2.5,3,4.5,2,2.75,3.75,3,2.6
California Burritos,Carne Asada,Linda Vista,Coastal,6.25,23,21.5,0.85,4,3,5,4,4,5,5,3,4.2
California Burritos,Carne Asada,Linda Vista,Coastal,6.25,22,20,0.7,4.5,4,4,4.5,4,4.5,4.5,4,4
Rigoberto's Taco Shop,Carne Asada,Miramar,South,6.6,22,22,0.85,4,3.5,4,4,4,4,4.5,4.5,4
Rigoberto's Taco Shop,Carne Asada,Miramar,South,6.6,23,22,0.89,4,3,3,3,3,,3.5,4.5,3
Mr. Ruribertos Taco Shop ,Carne Asada,Mission Beach,Coastal,7.75,19.5,21,0.68,4,4.5,2,2,3.5,2,2,4,3
Taco Surf PB,Carne Asada,Pacific Beach,Coastal,6.02,19.5,20.5,0.65,4.5,2,3.3,3.4,4.5,3.8,3.7,5,3.7
Caliente Mexican Food,Carne Asada,Sorrento Valley,Coastal,5.56,21.5,20,0.68,2.5,3,2.5,3.5,4.5,3.7,3.3,4.5,3.5
El Zarape,Carne Asada,University Heights,Coastal,6.25,18,21,0.63,4,4,,3.5,4,4,4,4,4
Chipotle,Carnitas,Carlsbad,Coastal,7.15,16.5,26.5,0.92,2.5,2.5,3,2.8,3.5,,3,3.5,2.75
El Portal Fresh Mexican Grill,Carnitas,Clairemont,Coastal,6.7,18,22.5,0.73,3.5,4,4,3,4,3,3.5,4.5,3.75
Lourdes,Carnitas,Encinitas,Coastal,7.35,21,19,0.6,3.5,3,3.5,3,4.5,4,4,5,3.75
Los Primos Mexican Food,Carnitas,UTC,Coastal,6.35,18,20.5,0.6,4,4,2.5,2,2,2,2,3,2
Taco Villa,Carnitas,UTC,Coastal,5.95,18,20,0.57,4,3,4,3,2,3.5,3,5,3.9
Taco Villa,Carnitas,UTC,Coastal,5.99,20,21.5,0.74,2,2.5,4,3,3.5,3,3,5,3.8
Taco Villa,Carnitas,UTC,Coastal,5.99,17.5,24,0.8,4,4.5,5,4.5,4,4,4.5,4,4
Taco Villa,Carnitas,UTC,Coastal,5.99,19,24.5,0.91,2,3.5,4.5,4,2,3,4,2,3.5
Taco Villa,Carnitas,UTC,Coastal,5.99,19.5,21,0.68,2.5,3,4,3.5,2.5,3.3,3,4,3.7
Taco Villa,Carnitas,UTC,Coastal,5.99,18.5,24,0.85,4,4,4.5,4,5,4,4,4.5,4.5
Los Palmitos,Surf & Turf,Clairemont,Coastal,8.25,20,24,0.92,3.5,4,4,3,4.5,3.5,3.5,5,3.6
Lucha Libre North Park,Surf & Turf,North Park,Coastal,8.25,19,24,0.87,5,3,5,4,2,5,2,2,2
Lucha Libre North Park,Surf & Turf,North Park,Coastal,8.25,20,22,0.77,3,2.5,2,2.8,3.5,4,3,4,2.2
Lucha Libre North Park,Surf & Turf,North Park,Coastal,8.25,20,22,0.77,3.6,3.2,3.2,3.5,3.5,3.5,3.8,3.9,3.6
Los Primos Mexican Food,Surf & Turf,UTC,Coastal,7,20.5,21.75,0.77,4,4,2,3,3.5,3,3,4.5,2.5
